"","Prior","beta0","beta1","beta2","beta3"
"1","Normal",18.3906801104391,8.40842245387212,36.7813602208781,33.6336898154885
"2","Logistic",18.3581041365961,9.03979354600218,36.7162082731922,36.1591741840087
"3","Uniform",12.25968532181,4.45186744107005,24.51937064362,17.8074697642802
"4","Student",16.0597000601269,7.67563959092238,32.1194001202539,30.7025583636895
