"","Metric","Prior","beta0","beta1","beta2","beta3"
"1","MAPE","Normal",0.150318958955779,0.0969584755064533,0.300637917911558,0.387833902025813
"2","RMSE","Normal",0.101155602772703,0.100125197469701,0.303466808318108,0.650813783553054
