"","Prior","beta0","beta1","beta2","beta3"
"1","Normal",0.0878296857273919,0.0930917955727103,0.263489057182176,0.605096671222617
"2","Logistic",0.0937571046144216,0.095664786016802,0.281271313843265,0.621821109109213
"3","Uniform",0.0743491868983372,0.0730329344185453,0.223047560695012,0.474714073720545
"4","Student",0.0954776412965364,0.0948191239606977,0.286432923889609,0.616324305744535
