"","Prior","beta0","beta1","beta2","beta3"
"1","Normal",16.9609566154271,9.34404070921641,33.9219132308542,37.3761628368656
"2","Logistic",15.4373246789747,8.88520316872465,30.8746493579494,35.5408126748986
"3","Uniform",16.0772311101275,7.62180635813097,32.154462220255,30.4872254325239
"4","Student",16.4671922822544,9.10367069360419,32.9343845645088,36.4146827744168
